PairName,TotalTrades,WinningTrades,LosingTrades,WinRate_Pct,GrossPnL_USD,Commission_USD,NetPnL_USD,AverageTrade_USD,BestTrade_USD,WorstTrade_USD,ProfitFactor
GBP/USD,32,23,9,71.875,4510.999999999954,224.0,4286.999999999954,133.96874999999855,632.9999999999961,-584.0000000000052,3.248033560566309
USD/JPY,26,0,26,0.0,-4.684988897603543,182.0,-186.68498889760352,-7.180191880677058,-3.5128325272018244,-11.415711274924764,0.0
AUD/USD,31,16,15,51.61290322580645,29.000000000067786,217.0,-187.99999999993221,-6.064516129030071,779.0000000000089,-782.0000000000034,0.952004084758761
USD/INR,28,1,27,3.571428571428571,5.751456300758546,196.0,-190.24854369924142,-6.794590846401479,0.3026753743549202,-12.126214196070729,0.001588420036494326
EUR/USD,33,19,14,57.57575757575758,-75.00000000002501,231.0,-306.00000000002524,-9.272727272728037,431.9999999999894,-747.0000000000073,0.92129629629629
